tag,gen,idx,maxIter,fpsErr,gpuTimeMs,boundary,density,rank
EVAL,0,0,1616,46.2347,9.41312,6516,0.202183,-1
EVAL,0,1,2343,227.541,3.47776,5923,0.203552,-1
EVAL,0,2,185,2255.67,0.43184,10336,0.174536,-1
EVAL,0,3,525,706.307,1.30496,8733,0.193515,-1
EVAL,0,4,3131,205.179,3.77104,5588,0.204639,-1
EVAL,0,5,1726,449.954,1.96096,6405,0.202485,-1
EVAL,0,6,3901,153.129,4.692,5268,0.205267,-1
EVAL,0,7,129,6091.57,0.16256,10230,0.163915,-1
EVAL,0,8,2142,285.457,2.89472,5983,0.2033,-1
EVAL,0,9,351,2001.35,0.48512,9387,0.187697,-1
EVAL,0,10,2241,355.007,2.4096,6050,0.203442,-1
EVAL,0,11,3180,216.573,3.61568,5549,0.204673,-1
EVAL,0,12,2265,312.8,2.6824,5948,0.203479,-1
EVAL,0,13,3892,164.901,4.4464,5268,0.205264,-1
EVAL,0,14,3009,185.493,4.07344,5592,0.204352,-1
EVAL,0,15,2384,319.202,2.63712,5813,0.203638,-1
EVAL,0,16,836,905.549,1.03568,7543,0.197954,-1
EVAL,0,17,2038,311.493,2.69184,6073,0.203044,-1
EVAL,0,18,3805,148.807,4.78912,5286,0.20523,-1
EVAL,0,19,1601,430.273,2.03968,6586,0.202145,-1
EVAL,0,20,1201,593.903,1.52928,6982,0.200663,-1
EVAL,0,21,93,9171.91,0.10832,10088,0.152411,-1
EVAL,0,22,3336,202.97,3.80272,5477,0.204766,-1
EVAL,0,23,1441,543.398,1.65728,6645,0.201647,-1
EVAL,0,24,1286,547.15,1.64704,6812,0.200988,-1
EVAL,0,25,1820,387.997,2.23216,6272,0.202649,-1
EVAL,0,26,2487,285.342,2.89568,5712,0.203739,-1
EVAL,0,27,1885,416.917,2.0968,6191,0.202848,-1
EVAL,0,28,3111,208.759,3.7208,5588,0.204627,-1
EVAL,0,29,2717,301.606,2.76544,5778,0.204093,-1
EVAL,0,30,598,1254.68,0.76064,8273,0.19477,-1
EVAL,0,31,2339,359.407,2.38432,5923,0.203551,-1
FRONT,0,0,1616,46.2347,9.41312,6516,0.202183,0
FRONT,0,1,2343,227.541,3.47776,5923,0.203552,0
FRONT,0,2,185,2255.67,0.43184,10336,0.174536,0
FRONT,0,3,525,706.307,1.30496,8733,0.193515,0
FRONT,0,4,3131,205.179,3.77104,5588,0.204639,0
FRONT,0,5,1726,449.954,1.96096,6405,0.202485,0
FRONT,0,6,3901,153.129,4.692,5268,0.205267,0
FRONT,0,7,129,6091.57,0.16256,10230,0.163915,0
FRONT,0,8,2142,285.457,2.89472,5983,0.2033,0
FRONT,0,9,351,2001.35,0.48512,9387,0.187697,0
FRONT,0,10,2241,355.007,2.4096,6050,0.203442,0
FRONT,0,11,3180,216.573,3.61568,5549,0.204673,0
FRONT,0,12,2265,312.8,2.6824,5948,0.203479,0
FRONT,0,13,3892,164.901,4.4464,5268,0.205264,0
FRONT,0,14,3009,185.493,4.07344,5592,0.204352,0
FRONT,0,15,2384,319.202,2.63712,5813,0.203638,0
FRONT,0,16,836,905.549,1.03568,7543,0.197954,0
FRONT,0,17,2038,311.493,2.69184,6073,0.203044,0
FRONT,0,18,3805,148.807,4.78912,5286,0.20523,0
FRONT,0,19,1601,430.273,2.03968,6586,0.202145,0
FRONT,0,20,1201,593.903,1.52928,6982,0.200663,0
FRONT,0,21,93,9171.91,0.10832,10088,0.152411,0
FRONT,0,22,3336,202.97,3.80272,5477,0.204766,0
FRONT,0,23,1441,543.398,1.65728,6645,0.201647,0
FRONT,0,24,1286,547.15,1.64704,6812,0.200988,0
FRONT,0,25,1820,387.997,2.23216,6272,0.202649,0
FRONT,0,26,2487,285.342,2.89568,5712,0.203739,0
FRONT,0,27,1885,416.917,2.0968,6191,0.202848,0
FRONT,0,28,3111,208.759,3.7208,5588,0.204627,0
FRONT,0,29,2717,301.606,2.76544,5778,0.204093,0
FRONT,0,30,598,1254.68,0.76064,8273,0.19477,0
FRONT,0,31,2339,359.407,2.38432,5923,0.203551,0
EVAL,1,0,1634,577.3,1.56912,6442,0.202242,-1
EVAL,1,1,238,3905.74,0.25216,10393,0.180571,-1
EVAL,1,2,836,1076.16,0.88016,7543,0.197954,-1
EVAL,1,3,2241,398.884,2.1792,6050,0.203442,-1
EVAL,1,4,1885,467.56,1.89552,6191,0.202848,-1
EVAL,1,5,2343,373.787,2.30528,5923,0.203552,-1
EVAL,1,6,2558,340.41,2.49744,5828,0.203983,-1
EVAL,1,7,2242,408.34,2.1352,6050,0.203442,-1
EVAL,1,8,1745,644.225,1.42,6350,0.202536,-1
EVAL,1,9,2447,448.502,1.96656,5712,0.203706,-1
EVAL,1,10,314,3831.66,0.25696,9785,0.185879,-1
EVAL,1,11,565,1639.76,0.58832,8377,0.194138,-1
EVAL,1,12,1708,620.235,1.47008,6403,0.202457,-1
EVAL,1,13,3805,257.066,3.15392,5286,0.20523,-1
EVAL,1,14,2924,355.697,2.4056,5643,0.204295,-1
EVAL,1,15,598,1831.07,0.5288,8273,0.19477,-1
EVAL,1,16,2228,435.717,2.01728,6050,0.203431,-1
EVAL,1,17,1323,781.638,1.18816,6719,0.201119,-1
EVAL,1,18,2333,426.874,2.05392,5923,0.203546,-1
EVAL,1,19,115,8501.64,0.1168,10185,0.16023,-1
EVAL,1,20,1441,755.714,1.22592,6645,0.201647,-1
EVAL,1,21,1565,646.294,1.41584,6589,0.20208,-1
EVAL,1,22,1686,585.061,1.55024,6392,0.202338,-1
EVAL,1,23,1717,583.335,1.5544,6405,0.202472,-1
EVAL,1,24,188,4593.76,0.21488,10342,0.175047,-1
EVAL,1,25,3788,233.234,3.41024,5286,0.205224,-1
EVAL,1,26,1536,693.557,1.32704,6586,0.202039,-1
EVAL,1,27,4019,250.482,3.2208,5195,0.205322,-1
EVAL,1,28,93,11688.1,0.08512,10088,0.152411,-1
EVAL,1,29,3416,285.705,2.89264,5393,0.204827,-1
EVAL,1,30,3805,256.392,3.16064,5286,0.20523,-1
EVAL,1,31,590,1934.26,0.50144,8291,0.194686,-1
FRONT,1,0,1634,577.3,1.56912,6442,0.202242,0
FRONT,1,1,238,3905.74,0.25216,10393,0.180571,0
FRONT,1,2,836,1076.16,0.88016,7543,0.197954,0
FRONT,1,3,2241,398.884,2.1792,6050,0.203442,0
FRONT,1,4,1885,467.56,1.89552,6191,0.202848,0
FRONT,1,5,2343,373.787,2.30528,5923,0.203552,0
FRONT,1,6,2558,340.41,2.49744,5828,0.203983,0
FRONT,1,7,2242,408.34,2.1352,6050,0.203442,0
FRONT,1,8,1745,644.225,1.42,6350,0.202536,0
FRONT,1,9,2447,448.502,1.96656,5712,0.203706,0
FRONT,1,10,314,3831.66,0.25696,9785,0.185879,0
FRONT,1,11,565,1639.76,0.58832,8377,0.194138,0
FRONT,1,12,1708,620.235,1.47008,6403,0.202457,0
FRONT,1,13,3805,257.066,3.15392,5286,0.20523,0
FRONT,1,14,2924,355.697,2.4056,5643,0.204295,0
FRONT,1,15,598,1831.07,0.5288,8273,0.19477,0
FRONT,1,16,2228,435.717,2.01728,6050,0.203431,0
FRONT,1,17,1323,781.638,1.18816,6719,0.201119,0
FRONT,1,18,2333,426.874,2.05392,5923,0.203546,0
FRONT,1,19,115,8501.64,0.1168,10185,0.16023,0
FRONT,1,20,1441,755.714,1.22592,6645,0.201647,0
FRONT,1,21,1565,646.294,1.41584,6589,0.20208,0
FRONT,1,22,1686,585.061,1.55024,6392,0.202338,0
